Day,Scott Morrison: (Australia),Bill Shorten: (Australia)
2019-01-18,1,1
2019-01-19,1,1
2019-01-20,3,1
2019-01-21,2,1
2019-01-22,2,1
2019-01-23,3,1
2019-01-24,2,1
2019-01-25,2,1
2019-01-26,3,0
2019-01-27,2,1
2019-01-28,3,2
2019-01-29,2,2
2019-01-30,2,2
2019-01-31,2,1
2019-02-01,1,1
2019-02-02,2,1
2019-02-03,1,2
2019-02-04,1,1
2019-02-05,3,1
2019-02-06,1,1
2019-02-07,2,1
2019-02-08,1,1
2019-02-09,1,1
2019-02-10,1,1
2019-02-11,3,2
2019-02-12,3,2
2019-02-13,4,1
2019-02-14,3,2
2019-02-15,2,2
2019-02-16,2,1
2019-02-17,4,1
2019-02-18,2,1
2019-02-19,2,1
2019-02-20,1,1
2019-02-21,3,2
2019-02-22,2,1
2019-02-23,2,1
2019-02-24,3,1
2019-02-25,2,1
2019-02-26,1,1
2019-02-27,3,1
2019-02-28,2,1
2019-03-01,1,1
2019-03-02,1,1
2019-03-03,2,1
2019-03-04,2,1
2019-03-05,2,1
2019-03-06,2,1
2019-03-07,2,1
2019-03-08,5,1
2019-03-09,4,1
2019-03-10,2,1
2019-03-11,3,1
2019-03-12,2,1
2019-03-13,2,1
2019-03-14,2,2
2019-03-15,5,1
2019-03-16,5,1
2019-03-17,4,2
2019-03-18,5,1
2019-03-19,3,1
2019-03-20,5,1
2019-03-21,14,1
2019-03-22,11,1
2019-03-23,6,2
2019-03-24,5,1
2019-03-25,4,1
2019-03-26,4,2
2019-03-27,3,2
2019-03-28,5,1
2019-03-29,4,1
2019-03-30,2,2
2019-03-31,2,2
2019-04-01,4,2
2019-04-02,5,2
2019-04-03,5,2
2019-04-04,4,8
2019-04-05,4,5
2019-04-06,3,2
2019-04-07,4,2
2019-04-08,4,2
2019-04-09,3,2
2019-04-10,4,4
2019-04-11,6,6
2019-04-12,3,6
2019-04-13,6,4
2019-04-14,6,6
2019-04-15,4,4
2019-04-16,3,6
2019-04-17,4,5
2019-04-18,4,4
2019-04-19,4,4
2019-04-20,4,4
2019-04-21,6,7
2019-04-22,7,6
2019-04-23,5,5
2019-04-24,3,4
2019-04-25,3,3
2019-04-26,3,4
2019-04-27,3,6
2019-04-28,5,8
2019-04-29,8,11
2019-04-30,6,9
2019-05-01,4,9
2019-05-02,2,8
2019-05-03,5,7
2019-05-04,5,6
2019-05-05,6,10
2019-05-06,6,11
2019-05-07,19,12
2019-05-08,10,33
2019-05-09,7,13
2019-05-10,6,10
2019-05-11,7,11
2019-05-12,12,13
2019-05-13,9,11
2019-05-14,7,9
2019-05-15,8,20
2019-05-16,11,21
2019-05-17,13,22
2019-05-18,100,97
