Day,Jair Bolsonaro: (Brazil),Fernando Haddad: (Brazil)
2018-06-28,1,0
2018-06-29,1,0
2018-06-30,1,0
2018-07-01,1,0
2018-07-02,1,0
2018-07-03,1,0
2018-07-04,1,0
2018-07-05,1,0
2018-07-06,1,0
2018-07-07,1,0
2018-07-08,1,0
2018-07-09,1,0
2018-07-10,1,0
2018-07-11,1,0
2018-07-12,1,0
2018-07-13,1,0
2018-07-14,1,0
2018-07-15,1,0
2018-07-16,1,0
2018-07-17,1,0
2018-07-18,1,0
2018-07-19,1,0
2018-07-20,1,0
2018-07-21,2,0
2018-07-22,3,0
2018-07-23,3,0
2018-07-24,2,0
2018-07-25,2,0
2018-07-26,2,0
2018-07-27,2,0
2018-07-28,2,0
2018-07-29,2,0
2018-07-30,2,0
2018-07-31,10,0
2018-08-01,5,0
2018-08-02,4,0
2018-08-03,4,0
2018-08-04,10,0
2018-08-05,7,0
2018-08-06,5,1
2018-08-07,4,1
2018-08-08,3,0
2018-08-09,3,0
2018-08-10,6,0
2018-08-11,4,0
2018-08-12,3,0
2018-08-13,2,0
2018-08-14,4,0
2018-08-15,4,0
2018-08-16,3,0
2018-08-17,3,0
2018-08-18,5,0
2018-08-19,4,0
2018-08-20,3,0
2018-08-21,4,0
2018-08-22,4,0
2018-08-23,5,0
2018-08-24,5,0
2018-08-25,5,0
2018-08-26,4,0
2018-08-27,4,0
2018-08-28,7,0
2018-08-29,42,0
2018-08-30,13,0
2018-08-31,9,0
2018-09-01,9,1
2018-09-02,8,1
2018-09-03,7,1
2018-09-04,7,1
2018-09-05,7,1
2018-09-06,100,1
2018-09-07,82,1
2018-09-08,31,1
2018-09-09,23,1
2018-09-10,19,1
2018-09-11,15,2
2018-09-12,14,2
2018-09-13,35,2
2018-09-14,23,2
2018-09-15,18,6
2018-09-16,19,4
2018-09-17,17,3
2018-09-18,17,3
2018-09-19,18,3
2018-09-20,18,3
2018-09-21,16,3
2018-09-22,17,3
2018-09-23,16,3
2018-09-24,15,2
2018-09-25,18,3
2018-09-26,19,3
2018-09-27,17,3
2018-09-28,20,2
2018-09-29,29,3
2018-09-30,32,4
2018-10-01,25,4
2018-10-02,24,4
2018-10-03,26,3
2018-10-04,28,4
2018-10-05,42,5
2018-10-06,46,5
2018-10-07,65,8
2018-10-08,48,15
2018-10-09,38,12
2018-10-10,33,10
2018-10-11,28,9
2018-10-12,28,10
2018-10-13,26,10
2018-10-14,24,9
2018-10-15,20,7
2018-10-16,19,6
2018-10-17,18,5
2018-10-18,24,4
2018-10-19,30,4
2018-10-20,24,4
2018-10-21,21,4
2018-10-22,19,4
2018-10-23,18,5
2018-10-24,17,5
2018-10-25,19,6
2018-10-26,22,7
2018-10-27,30,10
2018-10-28,73,16
