Day,Justin Trudeau: (Canada),Stephen Harper: (Canada),Tom Mulcair: (Canada)
2015-06-19,3,2,1
2015-06-20,4,1,0
2015-06-21,3,1,1
2015-06-22,3,1,1
2015-06-23,2,1,1
2015-06-24,4,2,1
2015-06-25,2,2,1
2015-06-26,3,2,1
2015-06-27,2,2,1
2015-06-28,3,2,1
2015-06-29,3,3,1
2015-06-30,3,2,2
2015-07-01,4,5,2
2015-07-02,3,3,1
2015-07-03,3,3,1
2015-07-04,3,2,1
2015-07-05,2,2,1
2015-07-06,2,2,1
2015-07-07,2,2,1
2015-07-08,2,2,1
2015-07-09,2,1,0
2015-07-10,2,2,0
2015-07-11,2,2,0
2015-07-12,2,1,1
2015-07-13,2,1,0
2015-07-14,1,2,1
2015-07-15,3,2,1
2015-07-16,2,2,1
2015-07-17,2,1,0
2015-07-18,2,2,1
2015-07-19,2,2,1
2015-07-20,4,2,1
2015-07-21,3,2,1
2015-07-22,3,2,2
2015-07-23,4,2,2
2015-07-24,3,2,1
2015-07-25,3,1,2
2015-07-26,2,2,1
2015-07-27,2,2,2
2015-07-28,2,3,1
2015-07-29,3,2,1
2015-07-30,4,4,1
2015-07-31,4,3,2
2015-08-01,4,3,4
2015-08-02,10,7,5
2015-08-03,10,9,5
2015-08-04,8,6,4
2015-08-05,8,5,4
2015-08-06,9,5,4
2015-08-07,28,11,13
2015-08-08,12,6,5
2015-08-09,8,8,4
2015-08-10,7,6,4
2015-08-11,6,5,3
2015-08-12,7,4,3
2015-08-13,6,4,2
2015-08-14,7,5,3
2015-08-15,5,6,3
2015-08-16,6,5,2
2015-08-17,5,6,2
2015-08-18,7,5,2
2015-08-19,7,6,3
2015-08-20,6,7,3
2015-08-21,5,6,3
2015-08-22,5,5,3
2015-08-23,4,5,3
2015-08-24,5,5,3
2015-08-25,5,4,3
2015-08-26,5,4,2
2015-08-27,5,4,2
2015-08-28,6,5,3
2015-08-29,6,4,2
2015-08-30,5,4,3
2015-08-31,4,4,2
2015-09-01,5,5,3
2015-09-02,5,4,2
2015-09-03,6,4,3
2015-09-04,6,5,3
2015-09-05,7,4,3
2015-09-06,6,3,2
2015-09-07,7,5,3
2015-09-08,7,6,3
2015-09-09,11,7,4
2015-09-10,10,7,7
2015-09-11,11,6,6
2015-09-12,7,6,4
2015-09-13,8,5,4
2015-09-14,8,6,4
2015-09-15,7,5,4
2015-09-16,7,6,4
2015-09-17,8,5,4
2015-09-18,18,11,10
2015-09-19,8,7,5
2015-09-20,10,6,5
2015-09-21,10,6,5
2015-09-22,9,5,4
2015-09-23,10,6,4
2015-09-24,9,6,4
2015-09-25,15,8,7
2015-09-26,10,5,4
2015-09-27,10,5,4
2015-09-28,12,6,4
2015-09-29,19,10,6
2015-09-30,15,7,5
2015-10-01,13,7,5
2015-10-02,13,7,4
2015-10-03,25,9,8
2015-10-04,21,10,6
2015-10-05,23,10,7
2015-10-06,21,11,7
2015-10-07,24,12,6
2015-10-08,22,15,6
2015-10-09,24,14,6
2015-10-10,25,12,6
2015-10-11,28,12,8
2015-10-12,40,17,8
2015-10-13,32,15,7
2015-10-14,35,18,8
2015-10-15,36,14,7
2015-10-16,40,18,9
2015-10-17,49,19,6
2015-10-18,52,24,9
2015-10-19,100,51,16
