Day,Liberal Party of Canada: (Canada),Conservative Party of Canada: (Canada),New Democratic Party: (Canada)
2015-06-19,1,1,4
2015-06-20,0,1,4
2015-06-21,1,0,3
2015-06-22,1,1,3
2015-06-23,1,1,3
2015-06-24,1,0,6
2015-06-25,2,1,4
2015-06-26,1,1,4
2015-06-27,1,0,4
2015-06-28,1,1,3
2015-06-29,1,1,5
2015-06-30,1,1,6
2015-07-01,1,1,5
2015-07-02,1,1,3
2015-07-03,1,1,4
2015-07-04,1,0,3
2015-07-05,1,1,4
2015-07-06,1,1,3
2015-07-07,0,1,4
2015-07-08,1,0,2
2015-07-09,1,1,3
2015-07-10,1,1,4
2015-07-11,1,1,4
2015-07-12,1,0,4
2015-07-13,1,1,4
2015-07-14,1,1,6
2015-07-15,1,1,5
2015-07-16,1,0,4
2015-07-17,1,1,4
2015-07-18,0,1,5
2015-07-19,1,0,3
2015-07-20,1,1,5
2015-07-21,1,1,6
2015-07-22,1,1,6
2015-07-23,1,1,6
2015-07-24,1,1,5
2015-07-25,1,1,5
2015-07-26,1,1,4
2015-07-27,1,1,4
2015-07-28,1,1,5
2015-07-29,1,1,7
2015-07-30,2,1,5
2015-07-31,1,2,7
2015-08-01,1,2,5
2015-08-02,2,3,11
2015-08-03,4,3,16
2015-08-04,4,3,13
2015-08-05,4,3,12
2015-08-06,3,2,12
2015-08-07,3,3,15
2015-08-08,2,3,9
2015-08-09,3,1,10
2015-08-10,2,2,11
2015-08-11,2,3,9
2015-08-12,3,2,10
2015-08-13,2,2,10
2015-08-14,2,2,11
2015-08-15,2,2,8
2015-08-16,2,2,11
2015-08-17,2,1,10
2015-08-18,2,3,8
2015-08-19,2,2,11
2015-08-20,2,3,11
2015-08-21,2,3,13
2015-08-22,3,1,11
2015-08-23,2,1,8
2015-08-24,2,2,10
2015-08-25,2,2,10
2015-08-26,2,2,11
2015-08-27,3,3,14
2015-08-28,2,2,11
2015-08-29,1,2,11
2015-08-30,1,1,8
2015-08-31,2,1,10
2015-09-01,2,2,11
2015-09-02,2,2,10
2015-09-03,2,3,10
2015-09-04,2,2,10
2015-09-05,1,2,8
2015-09-06,1,2,8
2015-09-07,2,3,10
2015-09-08,2,2,12
2015-09-09,3,3,14
2015-09-10,4,4,13
2015-09-11,3,3,17
2015-09-12,2,3,14
2015-09-13,3,3,12
2015-09-14,3,4,15
2015-09-15,5,4,14
2015-09-16,3,4,17
2015-09-17,4,4,18
2015-09-18,5,4,19
2015-09-19,3,3,13
2015-09-20,3,4,15
2015-09-21,5,4,16
2015-09-22,4,4,16
2015-09-23,4,4,14
2015-09-24,6,5,22
2015-09-25,5,4,20
2015-09-26,3,3,14
2015-09-27,3,3,15
2015-09-28,5,4,17
2015-09-29,5,5,20
2015-09-30,6,5,22
2015-10-01,5,7,23
2015-10-02,4,4,19
2015-10-03,3,5,18
2015-10-04,4,4,16
2015-10-05,7,7,25
2015-10-06,8,8,28
2015-10-07,8,10,30
2015-10-08,8,8,30
2015-10-09,9,9,30
2015-10-10,10,7,30
2015-10-11,9,7,26
2015-10-12,11,8,30
2015-10-13,14,11,30
2015-10-14,15,11,37
2015-10-15,13,10,28
2015-10-16,14,8,29
2015-10-17,11,5,23
2015-10-18,17,11,33
2015-10-19,49,30,100
