Day,Parti libéral du Canada: (Canada),Parti conservateur du Canada: (Canada),Nouveau Parti démocratique: (Canada)
2015-06-19,12,0,0
2015-06-20,31,0,0
2015-06-21,15,15,0
2015-06-22,0,0,0
2015-06-23,0,0,0
2015-06-24,0,0,0
2015-06-25,0,0,0
2015-06-26,0,0,0
2015-06-27,0,0,0
2015-06-28,0,0,0
2015-06-29,12,0,0
2015-06-30,11,0,11
2015-07-01,0,13,0
2015-07-02,12,0,0
2015-07-03,0,0,0
2015-07-04,0,0,0
2015-07-05,0,0,0
2015-07-06,0,0,0
2015-07-07,11,0,0
2015-07-08,0,0,0
2015-07-09,0,0,0
2015-07-10,0,0,0
2015-07-11,0,0,0
2015-07-12,0,0,0
2015-07-13,0,12,0
2015-07-14,0,11,0
2015-07-15,0,0,0
2015-07-16,0,0,0
2015-07-17,12,12,0
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,0,12,12
2015-07-21,0,0,0
2015-07-22,0,0,0
2015-07-23,0,0,0
2015-07-24,0,25,0
2015-07-25,0,0,0
2015-07-26,0,0,0
2015-07-27,0,18,0
2015-07-28,17,12,0
2015-07-29,12,0,0
2015-07-30,12,0,0
2015-07-31,0,12,0
2015-08-01,15,0,0
2015-08-02,30,0,30
2015-08-03,33,26,0
2015-08-04,34,29,0
2015-08-05,0,17,0
2015-08-06,0,12,0
2015-08-07,25,12,0
2015-08-08,22,0,0
2015-08-09,15,15,0
2015-08-10,18,12,12
2015-08-11,22,11,0
2015-08-12,11,11,0
2015-08-13,12,18,0
2015-08-14,12,48,0
2015-08-15,14,0,14
2015-08-16,15,15,0
2015-08-17,12,0,0
2015-08-18,11,12,0
2015-08-19,12,23,11
2015-08-20,17,12,0
2015-08-21,0,0,12
2015-08-22,14,15,0
2015-08-23,14,15,0
2015-08-24,11,23,0
2015-08-25,11,11,0
2015-08-26,11,0,0
2015-08-27,17,11,0
2015-08-28,18,24,0
2015-08-29,14,0,0
2015-08-30,0,14,14
2015-08-31,17,23,11
2015-09-01,28,23,0
2015-09-02,23,11,0
2015-09-03,17,12,12
2015-09-04,12,12,0
2015-09-05,14,0,14
2015-09-06,44,0,0
2015-09-07,13,13,13
2015-09-08,28,11,11
2015-09-09,22,66,0
2015-09-10,28,11,0
2015-09-11,12,23,12
2015-09-12,26,0,0
2015-09-13,51,0,0
2015-09-14,11,33,0
2015-09-15,11,16,0
2015-09-16,55,11,11
2015-09-17,33,44,0
2015-09-18,11,23,11
2015-09-19,13,0,0
2015-09-20,13,39,0
2015-09-21,21,11,0
2015-09-22,22,27,22
2015-09-23,11,11,16
2015-09-24,50,33,11
2015-09-25,29,23,0
2015-09-26,13,0,13
2015-09-27,13,13,13
2015-09-28,26,11,21
2015-09-29,32,16,21
2015-09-30,22,27,0
2015-10-01,22,27,11
2015-10-02,28,34,0
2015-10-03,26,20,0
2015-10-04,26,13,0
2015-10-05,27,49,0
2015-10-06,43,11,11
2015-10-07,54,33,11
2015-10-08,22,11,0
2015-10-09,56,11,0
2015-10-10,20,20,14
2015-10-11,27,14,14
2015-10-12,32,0,0
2015-10-13,32,32,11
2015-10-14,42,21,16
2015-10-15,32,32,11
2015-10-16,61,22,17
2015-10-17,26,13,26
2015-10-18,75,13,13
2015-10-19,100,63,21
