Day,Hillary Clinton: (United States),Bernie Sanders: (United States)
2016-02-01,20,30
2016-02-02,57,79
2016-02-03,27,36
2016-02-04,26,37
2016-02-05,33,44
2016-02-06,21,31
2016-02-07,21,47
2016-02-08,17,29
2016-02-09,21,31
2016-02-10,38,89
2016-02-11,26,48
2016-02-12,36,55
2016-02-13,23,34
2016-02-14,20,27
2016-02-15,16,25
2016-02-16,17,24
2016-02-17,21,25
2016-02-18,18,24
2016-02-19,21,27
2016-02-20,25,35
2016-02-21,36,36
2016-02-22,22,26
2016-02-23,20,25
2016-02-24,27,29
2016-02-25,24,25
2016-02-26,26,27
2016-02-27,26,28
2016-02-28,39,32
2016-02-29,25,26
2016-03-01,38,40
2016-03-02,66,62
2016-03-03,37,32
2016-03-04,34,29
2016-03-05,27,27
2016-03-06,32,38
2016-03-07,37,48
2016-03-08,26,34
2016-03-09,39,57
2016-03-10,35,45
2016-03-11,28,32
2016-03-12,30,37
2016-03-13,28,40
2016-03-14,30,40
2016-03-15,35,49
2016-03-16,65,59
2016-03-17,34,24
2016-03-18,27,25
2016-03-19,22,21
2016-03-20,21,22
2016-03-21,21,22
2016-03-22,23,24
2016-03-23,28,35
2016-03-24,20,23
2016-03-25,18,23
2016-03-26,21,49
2016-03-27,28,64
2016-03-28,21,31
2016-03-29,22,28
2016-03-30,20,26
2016-03-31,21,30
2016-04-01,27,26
2016-04-02,23,26
2016-04-03,19,29
2016-04-04,19,23
2016-04-05,21,27
2016-04-06,30,49
2016-04-07,25,32
2016-04-08,22,29
2016-04-09,21,30
2016-04-10,22,30
2016-04-11,20,25
2016-04-12,20,24
2016-04-13,19,24
2016-04-14,19,30
2016-04-15,32,42
2016-04-16,21,32
2016-04-17,19,31
2016-04-18,20,27
2016-04-19,28,35
2016-04-20,44,43
2016-04-21,20,20
2016-04-22,17,16
2016-04-23,17,15
2016-04-24,17,16
2016-04-25,18,15
2016-04-26,22,20
2016-04-27,38,29
2016-04-28,23,16
2016-04-29,19,13
2016-04-30,16,11
2016-05-01,18,14
2016-05-02,21,13
2016-05-03,23,15
2016-05-04,58,44
2016-05-05,44,23
2016-05-06,35,21
2016-05-07,29,19
2016-05-08,26,16
2016-05-09,23,16
2016-05-10,26,19
2016-05-11,31,28
2016-05-12,25,17
2016-05-13,23,15
2016-05-14,19,13
2016-05-15,19,13
2016-05-16,21,14
2016-05-17,22,17
2016-05-18,29,29
2016-05-19,24,18
2016-05-20,22,16
2016-05-21,21,15
2016-05-22,22,18
2016-05-23,20,16
2016-05-24,22,16
2016-05-25,29,16
2016-05-26,30,23
2016-05-27,29,22
2016-05-28,23,20
2016-05-29,25,17
2016-05-30,24,15
2016-05-31,22,18
2016-06-01,23,16
2016-06-02,28,15
2016-06-03,28,15
2016-06-04,26,16
2016-06-05,27,16
2016-06-06,28,16
2016-06-07,57,35
2016-06-08,100,67
2016-06-09,60,32
2016-06-10,66,22
2016-06-11,53,16
2016-06-12,41,13
2016-06-13,32,10
2016-06-14,30,11
