Day,Hillary Clinton: (California),Donald Trump: (California)
2016-07-08,9,13
2016-07-09,6,11
2016-07-10,5,10
2016-07-11,4,9
2016-07-12,7,12
2016-07-13,7,14
2016-07-14,6,16
2016-07-15,7,21
2016-07-16,6,21
2016-07-17,7,16
2016-07-18,6,19
2016-07-19,10,44
2016-07-20,10,41
2016-07-21,10,39
2016-07-22,17,66
2016-07-23,19,30
2016-07-24,12,23
2016-07-25,14,21
2016-07-26,20,27
2016-07-27,23,31
2016-07-28,22,38
2016-07-29,49,39
2016-07-30,19,30
2016-07-31,14,30
2016-08-01,12,30
2016-08-02,11,34
2016-08-03,10,38
2016-08-04,9,31
2016-08-05,9,27
2016-08-06,8,22
2016-08-07,7,19
2016-08-08,9,21
2016-08-09,9,23
2016-08-10,10,26
2016-08-11,8,22
2016-08-12,8,20
2016-08-13,7,18
2016-08-14,6,17
2016-08-15,6,18
2016-08-16,6,16
2016-08-17,6,18
2016-08-18,7,19
2016-08-19,6,29
2016-08-20,6,22
2016-08-21,6,18
2016-08-22,8,17
2016-08-23,9,16
2016-08-24,7,15
2016-08-25,8,18
2016-08-26,7,17
2016-08-27,7,16
2016-08-28,6,15
2016-08-29,6,14
2016-08-30,6,14
2016-08-31,6,23
2016-09-01,7,28
2016-09-02,7,17
2016-09-03,7,16
2016-09-04,6,15
2016-09-05,6,14
2016-09-06,9,14
2016-09-07,8,16
2016-09-08,12,20
2016-09-09,8,15
2016-09-10,8,15
2016-09-11,26,15
2016-09-12,33,16
2016-09-13,24,14
2016-09-14,17,18
2016-09-15,13,18
2016-09-16,12,21
2016-09-17,10,18
2016-09-18,8,15
2016-09-19,9,15
2016-09-20,10,16
2016-09-21,10,17
2016-09-22,11,17
2016-09-23,10,17
2016-09-24,10,17
2016-09-25,9,17
2016-09-26,14,22
2016-09-27,58,81
2016-09-28,21,35
2016-09-29,15,28
2016-09-30,13,30
2016-10-01,12,29
2016-10-02,12,33
2016-10-03,12,30
2016-10-04,13,26
2016-10-05,11,27
2016-10-06,9,23
2016-10-07,9,29
2016-10-08,15,100
2016-10-09,16,80
2016-10-10,40,100
2016-10-11,20,57
2016-10-12,16,46
2016-10-13,15,50
2016-10-14,15,45
2016-10-15,14,44
2016-10-16,14,39
2016-10-17,13,35
2016-10-18,13,34
2016-10-19,13,32
2016-10-20,32,71
2016-10-21,20,42
2016-10-22,15,34
2016-10-23,13,34
2016-10-24,12,29
2016-10-25,14,30
2016-10-26,14,34
2016-10-27,13,33
2016-10-28,23,30
2016-10-29,27,30
2016-10-30,20,27
2016-10-31,20,28
2016-11-01,22,32
2016-11-02,23,33
2016-11-03,25,34
2016-11-04,23,34
2016-11-05,25,37
2016-11-06,29,61
2016-11-07,33,52
2016-11-08,61,88
