Day,Hillary Clinton: (Texas),Donald Trump: (Texas)
2016-07-08,11,13
2016-07-09,7,10
2016-07-10,5,10
2016-07-11,5,10
2016-07-12,6,12
2016-07-13,6,14
2016-07-14,6,16
2016-07-15,7,20
2016-07-16,7,21
2016-07-17,7,16
2016-07-18,7,19
2016-07-19,10,50
2016-07-20,12,46
2016-07-21,11,43
2016-07-22,19,74
2016-07-23,19,31
2016-07-24,14,24
2016-07-25,15,21
2016-07-26,20,28
2016-07-27,25,30
2016-07-28,23,38
2016-07-29,45,37
2016-07-30,19,26
2016-07-31,13,25
2016-08-01,12,28
2016-08-02,12,33
2016-08-03,10,34
2016-08-04,9,28
2016-08-05,10,23
2016-08-06,8,19
2016-08-07,8,18
2016-08-08,8,18
2016-08-09,10,21
2016-08-10,10,21
2016-08-11,9,21
2016-08-12,7,16
2016-08-13,7,15
2016-08-14,6,16
2016-08-15,6,15
2016-08-16,6,16
2016-08-17,6,16
2016-08-18,6,16
2016-08-19,6,23
2016-08-20,6,22
2016-08-21,8,18
2016-08-22,9,16
2016-08-23,9,22
2016-08-24,8,19
2016-08-25,8,17
2016-08-26,8,16
2016-08-27,7,14
2016-08-28,8,13
2016-08-29,6,13
2016-08-30,7,12
2016-08-31,6,21
2016-09-01,7,25
2016-09-02,6,16
2016-09-03,6,14
2016-09-04,7,14
2016-09-05,7,14
2016-09-06,10,13
2016-09-07,9,16
2016-09-08,12,18
2016-09-09,7,13
2016-09-10,8,13
2016-09-11,30,15
2016-09-12,39,16
2016-09-13,29,14
2016-09-14,18,17
2016-09-15,14,16
2016-09-16,12,18
2016-09-17,9,18
2016-09-18,9,15
2016-09-19,10,15
2016-09-20,11,15
2016-09-21,10,17
2016-09-22,10,16
2016-09-23,11,15
2016-09-24,9,15
2016-09-25,10,15
2016-09-26,14,21
2016-09-27,61,77
2016-09-28,21,33
2016-09-29,14,26
2016-09-30,13,27
2016-10-01,13,25
2016-10-02,12,28
2016-10-03,13,27
2016-10-04,12,21
2016-10-05,13,28
2016-10-06,10,23
2016-10-07,10,26
2016-10-08,18,92
2016-10-09,17,78
2016-10-10,43,98
2016-10-11,24,59
2016-10-12,21,49
2016-10-13,18,49
2016-10-14,17,43
2016-10-15,16,40
2016-10-16,15,35
2016-10-17,14,32
2016-10-18,15,31
2016-10-19,16,31
2016-10-20,42,78
2016-10-21,22,41
2016-10-22,16,32
2016-10-23,16,33
2016-10-24,15,30
2016-10-25,17,34
2016-10-26,19,35
2016-10-27,18,36
2016-10-28,33,33
2016-10-29,36,31
2016-10-30,27,29
2016-10-31,25,31
2016-11-01,26,35
2016-11-02,29,39
2016-11-03,34,38
2016-11-04,30,38
2016-11-05,27,36
2016-11-06,32,64
2016-11-07,36,52
2016-11-08,73,100
