Day,Ted Cruz: (Florida),Donald Trump: (Florida),Marco Rubio: (Florida),John Kasich: (Florida)
2016-02-07,7,20,10,2
2016-02-08,3,14,5,1
2016-02-09,4,21,5,3
2016-02-10,4,34,6,9
2016-02-11,4,22,4,3
2016-02-12,5,25,3,1
2016-02-13,4,26,2,1
2016-02-14,7,24,6,3
2016-02-15,4,19,2,1
2016-02-16,4,20,3,1
2016-02-17,4,25,3,0
2016-02-18,6,26,5,1
2016-02-19,4,26,3,3
2016-02-20,4,25,4,1
2016-02-21,7,45,10,3
2016-02-22,4,25,5,1
2016-02-23,4,24,5,1
2016-02-24,4,41,5,1
2016-02-25,3,34,4,1
2016-02-26,7,70,13,4
2016-02-27,5,44,10,1
2016-02-28,4,45,6,1
2016-02-29,3,44,5,1
2016-03-01,4,57,6,1
2016-03-02,10,82,12,3
2016-03-03,4,63,6,1
2016-03-04,13,68,11,7
2016-03-05,7,58,7,3
2016-03-06,11,56,9,2
2016-03-07,7,38,6,2
2016-03-08,6,38,6,2
2016-03-09,6,48,9,3
2016-03-10,6,39,8,2
2016-03-11,8,51,9,4
2016-03-12,6,75,7,3
2016-03-13,5,71,7,3
2016-03-14,5,63,8,3
2016-03-15,9,68,11,6
2016-03-16,13,100,25,16
2016-03-17,5,53,5,3
2016-03-18,4,44,3,1
2016-03-19,3,47,2,1
2016-03-20,3,38,1,2
2016-03-21,3,36,2,2
2016-03-22,3,39,1,1
2016-03-23,9,44,1,2
2016-03-24,8,36,1,1
2016-03-25,24,36,1,2
2016-03-26,15,31,1,1
2016-03-27,8,27,1,1
2016-03-28,7,26,1,1
2016-03-29,6,28,1,1
2016-03-30,7,36,1,2
2016-03-31,4,30,0,1
2016-04-01,4,26,1,1
2016-04-02,4,25,0,1
2016-04-03,3,24,1,1
2016-04-04,4,24,0,1
2016-04-05,4,24,0,1
2016-04-06,9,29,1,2
2016-04-07,4,20,1,1
2016-04-08,3,19,0,1
2016-04-09,4,17,0,1
2016-04-10,3,21,1,1
2016-04-11,3,17,1,0
2016-04-12,3,20,1,2
2016-04-13,3,20,1,1
2016-04-14,4,18,1,1
2016-04-15,4,18,0,1
2016-04-16,3,16,0,1
2016-04-17,3,15,0,1
2016-04-18,3,15,0,1
2016-04-19,2,19,0,1
2016-04-20,4,34,0,1
2016-04-21,4,21,0,1
2016-04-22,3,18,1,0
2016-04-23,2,15,0,1
2016-04-24,3,15,1,1
2016-04-25,3,19,0,3
2016-04-26,3,18,0,2
2016-04-27,9,43,1,2
2016-04-28,7,27,1,1
2016-04-29,4,24,1,1
2016-04-30,3,21,1,1
2016-05-01,4,22,0,1
2016-05-02,4,20,0,0
2016-05-03,8,28,0,1
2016-05-04,34,63,1,14
2016-05-05,6,42,1,4
2016-05-06,3,38,1,1
2016-05-07,2,30,0,1
2016-05-08,3,30,1,0
2016-05-09,2,24,0,0
2016-05-10,2,23,1,0
2016-05-11,2,25,1,0
2016-05-12,1,24,0,0
2016-05-13,1,24,0,0
2016-05-14,1,22,1,0
2016-05-15,1,22,0,0
2016-05-16,1,22,0,0
2016-05-17,0,23,0,0
2016-05-18,1,30,0,0
2016-05-19,1,22,0,0
2016-05-20,1,19,0,0
2016-05-21,1,17,0,0
2016-05-22,1,17,0,0
2016-05-23,1,17,0,0
2016-05-24,0,18,0,0
2016-05-25,1,22,0,0
2016-05-26,0,29,0,0
2016-05-27,1,24,1,0
2016-05-28,0,20,1,0
2016-05-29,1,18,0,0
2016-05-30,1,16,1,0
2016-05-31,0,18,0,0
2016-06-01,0,20,0,0
2016-06-02,0,22,0,0
2016-06-03,0,24,0,0
2016-06-04,1,24,0,0
2016-06-05,0,19,0,0
2016-06-06,0,20,0,0
2016-06-07,0,25,0,0
