Day,Ted Cruz: (United States),Donald Trump: (United States),Marco Rubio: (United States),John Kasich: (United States)
2016-02-01,5,26,2,1
2016-02-02,28,43,14,1
2016-02-03,11,24,6,1
2016-02-04,8,21,5,1
2016-02-05,5,18,4,1
2016-02-06,5,16,4,1
2016-02-07,9,22,11,3
2016-02-08,4,14,5,1
2016-02-09,5,23,5,3
2016-02-10,5,39,6,12
2016-02-11,4,25,3,3
2016-02-12,6,21,2,2
2016-02-13,7,20,2,1
2016-02-14,9,28,6,4
2016-02-15,5,19,2,1
2016-02-16,5,23,2,1
2016-02-17,5,28,3,1
2016-02-18,7,29,4,2
2016-02-19,5,31,3,4
2016-02-20,5,26,3,2
2016-02-21,8,52,9,4
2016-02-22,5,30,5,2
2016-02-23,5,30,5,2
2016-02-24,5,48,5,2
2016-02-25,5,41,4,2
2016-02-26,10,78,13,4
2016-02-27,7,52,10,2
2016-02-28,6,50,7,2
2016-02-29,5,56,6,1
2016-03-01,9,77,8,3
2016-03-02,15,100,12,5
2016-03-03,7,80,5,2
2016-03-04,15,82,9,9
2016-03-05,10,60,5,4
2016-03-06,14,61,6,4
2016-03-07,8,46,4,3
2016-03-08,7,43,4,3
2016-03-09,8,56,6,4
2016-03-10,6,42,4,3
2016-03-11,8,55,6,4
2016-03-12,6,87,4,3
2016-03-13,6,76,4,4
2016-03-14,5,61,3,4
2016-03-15,7,64,5,6
2016-03-16,12,88,17,18
2016-03-17,6,53,3,4
2016-03-18,5,50,2,3
2016-03-19,5,54,1,2
2016-03-20,4,44,1,2
2016-03-21,4,41,1,2
2016-03-22,5,41,1,2
2016-03-23,12,47,1,3
2016-03-24,11,43,1,2
2016-03-25,29,42,1,2
2016-03-26,20,36,1,1
2016-03-27,11,33,1,1
2016-03-28,9,30,1,1
2016-03-29,8,34,1,1
2016-03-30,9,40,1,2
2016-03-31,6,37,0,2
2016-04-01,5,32,0,2
2016-04-02,5,30,0,1
2016-04-03,5,29,0,1
2016-04-04,4,27,0,2
2016-04-05,5,30,0,2
2016-04-06,10,36,0,2
2016-04-07,6,25,0,1
2016-04-08,5,23,0,1
2016-04-09,4,21,0,1
2016-04-10,4,22,0,1
2016-04-11,4,22,0,1
2016-04-12,4,23,0,3
2016-04-13,4,26,1,1
2016-04-14,5,23,0,1
2016-04-15,6,21,0,1
2016-04-16,5,18,0,1
2016-04-17,4,18,0,1
2016-04-18,4,18,0,1
2016-04-19,4,26,0,2
2016-04-20,7,41,0,2
2016-04-21,4,25,0,1
2016-04-22,4,22,0,1
2016-04-23,4,20,0,1
2016-04-24,4,19,0,1
2016-04-25,6,22,0,4
2016-04-26,5,26,0,4
2016-04-27,11,51,1,3
2016-04-28,9,33,0,1
2016-04-29,6,34,0,1
2016-04-30,4,28,0,1
2016-05-01,5,27,0,1
2016-05-02,5,25,0,1
2016-05-03,10,33,0,1
2016-05-04,51,81,1,21
2016-05-05,9,55,1,5
2016-05-06,5,50,0,1
2016-05-07,3,40,0,1
2016-05-08,3,34,0,1
2016-05-09,2,31,0,0
2016-05-10,3,30,0,0
2016-05-11,2,32,0,1
2016-05-12,1,30,0,0
2016-05-13,1,29,0,0
2016-05-14,1,28,0,0
2016-05-15,1,26,0,0
2016-05-16,1,27,0,0
2016-05-17,1,26,0,0
2016-05-18,1,34,0,0
2016-05-19,1,26,0,0
2016-05-20,1,24,0,0
2016-05-21,1,22,0,0
2016-05-22,1,22,0,0
2016-05-23,1,20,0,0
2016-05-24,1,21,0,0
2016-05-25,1,28,0,0
2016-05-26,1,35,0,0
2016-05-27,1,32,1,0
2016-05-28,1,29,0,0
2016-05-29,1,24,0,0
2016-05-30,1,22,0,0
2016-05-31,1,24,0,0
2016-06-01,1,25,0,0
2016-06-02,1,26,0,0
2016-06-03,1,30,0,0
2016-06-04,0,29,0,0
2016-06-05,1,27,0,0
2016-06-06,1,27,0,0
2016-06-07,1,33,0,0
