Week,Democratic: (California),Republican: (California)
2018-06-10,6,9
2018-06-17,6,11
2018-06-24,11,13
2018-07-01,9,8
2018-07-08,8,10
2018-07-15,8,14
2018-07-22,8,10
2018-07-29,7,8
2018-08-05,8,10
2018-08-12,7,8
2018-08-19,9,10
2018-08-26,13,15
2018-09-02,11,13
2018-09-09,11,12
2018-09-16,11,14
2018-09-23,13,23
2018-09-30,14,24
2018-10-07,16,25
2018-10-14,20,30
2018-10-21,22,32
2018-10-28,29,39
2018-11-04,74,100
2018-11-11,13,17
2018-11-18,8,12
2018-11-25,10,12
2018-12-02,10,12
2018-12-09,10,11
2018-12-16,8,10
2018-12-23,5,6
2018-12-30,8,10
2019-01-06,13,12
2019-01-13,13,13
2019-01-20,14,13
2019-01-27,15,11
2019-02-03,16,12
2019-02-10,13,11
2019-02-17,14,11
2019-02-24,12,14
2019-03-03,13,11
2019-03-10,14,12
2019-03-17,15,11
2019-03-24,13,10
2019-03-31,13,9
2019-04-07,14,10
2019-04-14,14,11
2019-04-21,16,11
2019-04-28,15,9
2019-05-05,13,10
2019-05-12,15,11
2019-05-19,13,11
2019-05-26,14,8
2019-06-02,20,9
